R,algorithm,date,iteration,seed,size
400,RLSSDstar,20210126194039_814,1954,16116864397663660,"(20, 120)"
400,RLSSDstar,20210126194246_575,5646986,16116864398158850,"(20, 120)"
400,RLSSDstar,20210126194246_578,70,16116865665770380,"(20, 120)"
400,RLSSDstar,20210126194247_036,81,16116865670342870,"(20, 120)"
400,RLSSDstar,20210126194247_048,523,16116865670369400,"(20, 120)"
400,RLSSDstar,20210126194247_511,24035,16116865670490970,"(20, 120)"
400,RLSSDstar,20210126194247_707,10061,16116865675128030,"(20, 120)"
400,RLSSDstar,20210126194247_713,196,16116865677083550,"(20, 120)"
400,RLSSDstar,20210126194247_753,67,16116865677519160,"(20, 120)"
400,RLSSDstar,20210126194247_754,61,16116865677537710,"(20, 120)"
400,RLSSDstar,20210126194248_681,47130,16116865677679910,"(20, 120)"
400,RLSSDstar,20210126194248_687,250,16116865686819680,"(20, 120)"
400,RLSSDstar,20210126194249_093,728,16116865690786040,"(20, 120)"
400,RLSSDstar,20210126194249_106,638,16116865690942700,"(20, 120)"
400,RLSSDstar,20210126194249_278,8389,16116865691070420,"(20, 120)"
400,RLSSDstar,20210126194249_283,191,16116865692796370,"(20, 120)"
400,RLSSDstar,20210126194249_312,543,16116865693020320,"(20, 120)"
400,RLSSDstar,20210126194249_338,1003,16116865693173340,"(20, 120)"
400,RLSSDstar,20210126194901_735,12925,16116869414416440,"(20, 120)"
400,RLSSDstar,20210126194901_743,244,16116869417375610,"(20, 120)"
400,RLSSDstar,20210126194902_809,292,16116869428027080,"(20, 120)"
400,RLSSDstar,20210126194905_573,66290,16116869440555360,"(20, 120)"
400,RLSSDstar,20210126194905_586,167,16116869455826550,"(20, 120)"
400,RLSSDstar,20210126195159_381,5557266,16116869954547710,"(20, 120)"
400,RLSSDstar,20210126195159_385,100,16116871193831610,"(20, 120)"
400,RLSSDstar,20210126195338_935,9574,16116872187439050,"(20, 120)"
400,RLSSDstar,20210126195441_152,3039085,16116872189366510,"(20, 120)"
400,RLSSDstar,20210126195441_169,423,16116872811586430,"(20, 120)"
400,RLSSDstar,20210126195803_931,54,16116874839299960,"(20, 120)"
400,RLSSDstar,20210126195852_393,9494,16116875321951650,"(20, 120)"
400,RLSSDstar,20210126195853_472,51479,16116875323947980,"(20, 120)"
400,RLSSDstar,20210126195906_255,640301,16116875334732298,"(20, 120)"
400,RLSSDstar,20210126195919_878,686469,16116875462643910,"(20, 120)"
400,RLSSDstar,20210126195920_066,9474,16116875598795380,"(20, 120)"
400,RLSSDstar,20210126195920_069,65,16116875600676290,"(20, 120)"
400,RLSSDstar,20210126195921_337,65675,16116875600992260,"(20, 120)"
400,RLSSDstar,20210126195927_138,279816,16116875613386950,"(20, 120)"
400,RLSSDstar,20210126195927_15,439,16116875671396192,"(20, 120)"
400,RLSSDstar,20210126195927_158,145,16116875671551400,"(20, 120)"
400,RLSSDstar,20210126195929_501,2311,16116875694525590,"(20, 120)"
400,RLSSDstar,20210126195930_634,56461,16116875695026520,"(20, 120)"
400,RLSSDstar,20210126200247_029,164,16116877670261778,"(20, 120)"
400,RLSSDstar,20210126200550_531,66,16116879505302450,"(20, 120)"
400,RLSSDstar,20210126200624_404,70,16116879844033130,"(20, 120)"
400,RLSSDstar,20210126200708_409,86,16116880284078970,"(20, 120)"
400,RLSSDstar,20210126200708_411,50,16116880284102030,"(20, 120)"
400,RLSSDstar,20210126200708_635,11333,16116880284116520,"(20, 120)"
400,RLSSDstar,20210126200902_167,5592118,16116880286586772,"(20, 120)"
400,RLSSDstar,20210126200913_098,554074,16116881421701930,"(20, 120)"
400,RLSSDstar,20210126200913_129,1465,16116881530988810,"(20, 120)"
400,RLSSDstar,20210126200913_221,3932,16116881531303820,"(20, 120)"
400,RLSSDstar,20210126200924_611,567426,16116881532223200,"(20, 120)"
400,RLSSDstar,20210126200924_634,64,16116881646329240,"(20, 120)"
400,RLSSDstar,20210126200924_772,98,16116881647700710,"(20, 120)"
400,RLSSDstar,20210126200925_586,42524,16116881647757800,"(20, 120)"
400,RLSSDstar,20210126201239_884,9595569,16116881655908288,"(20, 120)"
400,RLSSDstar,20210126201239_887,84,16116883598858590,"(20, 120)"
400,RLSSDstar,20210126201242_251,38211,16116883615124840,"(20, 120)"
400,RLSSDstar,20210126201242_256,173,16116883622520860,"(20, 120)"
400,RLSSDstar,20210126201242_264,69,16116883622634890,"(20, 120)"
400,RLSSDstar,20210126201242_312,2017,16116883622685260,"(20, 120)"
400,RLSSDstar,20210126201242_335,106,16116883623336648,"(20, 120)"
400,RLSSDstar,20210126201642_014,1739610,16116885677342330,"(20, 120)"
400,RLSSDstar,20210126201642_019,182,16116886020162790,"(20, 120)"
400,RLSSDstar,20210126201642_022,94,16116886020206720,"(20, 120)"
400,RLSSDstar,20210126201742_053,2981677,16116886020273160,"(20, 120)"
400,RLSSDstar,20210126201813_052,1586575,16116886620631490,"(20, 120)"
400,RLSSDstar,20210126201813_059,58,16116886930580550,"(20, 120)"
400,RLSSDstar,20210126202437_144,57,16116890771429492,"(20, 120)"
400,RLSSDstar,20210126202450_0,657534,16116890771504210,"(20, 120)"
400,RLSSDstar,20210126202450_434,22471,16116890900010942,"(20, 120)"
400,RLSSDstar,20210126202450_834,130,16116890908323842,"(20, 120)"
400,RLSSDstar,20210126202855_959,2958509,16116892766785360,"(20, 120)"
400,RLSSDstar,20210126203209_72,35494,16116895290417630,"(20, 120)"
400,RLSSDstar,20210126203209_723,29,16116895297223160,"(20, 120)"
400,RLSSDstar,20210126203209_733,128,16116895297311810,"(20, 120)"
400,RLSSDstar,20210126203210_213,68,16116895302122910,"(20, 120)"
400,RLSSDstar,20210126203509_242,27432,16116897086980938,"(20, 120)"
400,RLSSDstar,20210126203509_245,82,16116897092432712,"(20, 120)"
400,RLSSDstar,20210126203509_574,17259,16116897092457458,"(20, 120)"
53084160000,RLSSDstar,20210201202928_342,323608,16122076726954700,60
49787136,RLSSDstar,20210201203420_111,6289,16122080597758060,24
1049760000,RLSSDstar,20210201203516_065,98131,16122081055691400,36
9475854336,RLSSDstar,20210201203847_982,158384,16122083014259850,48
